subfield_id,subfield_name,field_name,scope,includes,excludes,flagship_journals,wikipedia_anchor,card_confidence
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,"Last-resort umbrella subfield for agricultural and biological sciences research that spans multiple subfields of this field or does not fit cleanly into any single one of them, e.g. broad agricultural economics, rural development, general agri-food systems work, or general biology not tied to a specific subdiscipline. Only use when a topic clearly belongs to this field but not to any of its named subfields; per ASJC convention this is a last-resort bucket, not a preferred home. ARBITRATION vs Economics and Econometrics [Economics, Econometrics and Finance] and Development [Social Sciences]: agricultural economics and policy is named as belonging to Economics and Econometrics (2002); rural development and rural-sociology framing is named as belonging to Development (3303); this card keeps only genuinely cross-cutting or unclassified agricultural/biological-science topics, as a true last resort.","agricultural science topics that combine multiple named agricultural subfields (e.g. agronomy, animal science, soil science) with no single specific home; general biology or agricultural-science research not tied to a specific subdiscipline, pending clearer classification; general/multidisciplinary agri-food systems; agricultural extension and innovation diffusion; general biotechnology applied to agriculture; cross-cutting agricultural sustainability","agri-environmental policy, governance, and monitoring frameworks (sustainability-assessment/policy framing rather than agricultural-science framing) -> Management, Monitoring, Policy and Law ; agricultural education and extension pedagogy (teaching/training framing rather than agricultural-science framing) -> Education ; agricultural economics, farm-level economic analysis, and agricultural policy studied as economics -> Economics and Econometrics ; rural development, rural sociology, and developing-region agricultural/social change studied as development studies -> Development",Agricultural Systems; Agriculture and Human Values; Outlook on Agriculture,https://en.wikipedia.org/wiki/Agricultural_science,medium
1102,Agronomy and Crop Science,Agricultural and Biological Sciences,"Study of crop plants and agricultural production systems: crop breeding and genetics for yield and quality, crop physiology and management, cropping systems and farming practices, and field-crop pest/disease management as applied to production agriculture.","crop breeding and cultivar development; cropping systems and rotations; crop physiology and yield; agronomic management (irrigation, fertilization scheduling); precision agriculture and field-crop technology; seed science; sustainable/conservation farming systems","general plant biology not tied to crop production -> Plant Science ; soil chemistry, fertility, and pedology as a discipline -> Soil Science ; livestock and animal production -> Animal Science and Zoology",Agronomy Journal; Field Crops Research; Crop Science; European Journal of Agronomy,https://en.wikipedia.org/wiki/Agronomy,high
1103,Animal Science and Zoology,Agricultural and Biological Sciences,"Study of animals spanning livestock production science (breeding, nutrition, physiology, husbandry, welfare) and zoology broadly (comparative anatomy, physiology, and biology of domesticated and wild vertebrates), with a production/organismal-biology orientation. NOTE ON VETERINARY: the Veterinary field contains only Equine and Small Animals - there is no general veterinary subfield. Livestock, poultry and farmed-fish health topics belong here, not in Veterinary.","livestock breeding and genetics; animal nutrition and feeding; animal husbandry and welfare; meat and animal product quality; comparative anatomy and physiology; wildlife biology (organismal, non-ecological); reproductive biology of animals; disease, health, biosecurity and infectious pathology of livestock, poultry and farmed animals as a production concern; laboratory-animal science: husbandry, welfare, refinement and models","ecological/behavioral studies of wild animal populations and communities -> Ecology, Evolution, Behavior and Systematics ; insects and other arthropods -> Insect Science ; aquatic organisms and fisheries biology -> Aquatic Science",Journal of Animal Science; Animal; Livestock Science,https://en.wikipedia.org/wiki/Animal_science,high
1104,Aquatic Science,Agricultural and Biological Sciences,"Study of organisms and ecosystems in marine and freshwater environments, including aquatic biology, limnology, marine biology, fisheries science, and aquaculture, covering both wild aquatic populations and farmed aquatic production.",marine and freshwater biology; limnology; fisheries science and management; aquaculture and mariculture; aquatic invertebrate and vertebrate biology; aquatic ecosystem ecology; aquatic biodiversity and taxonomy,"terrestrial ecology and evolutionary biology -> Ecology, Evolution, Behavior and Systematics ; physical/chemical oceanography of water bodies -> Oceanography ; processing and quality of harvested seafood products -> Food Science",Journal of Fish Biology; Aquaculture; Limnology and Oceanography; Aquatic Sciences,https://en.wikipedia.org/wiki/Aquatic_ecosystem,high
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,"Study of relationships between organisms and their environments, evolutionary processes and phylogenetics, animal and plant behavior, and taxonomic/systematic classification of organisms across all kingdoms, spanning population, community, and ecosystem ecology plus macroevolutionary and behavioral biology. ARBITRATION vs Ecology [Environmental Science]: the study OBJECT decides. Organisms, taxa, populations and their evolution, behaviour, life history and classification belong here; the environment or ecosystem studied as a system belongs to Ecology [Environmental Science]. Evolution, phylogenetics, systematics and taxonomy are never Environmental Science. ARBITRATION vs Anthropology [Social Sciences] and Language and Linguistics [Arts and Humanities]: human cultural, social, and linguistic evolution belongs to Anthropology (3314) and Language and Linguistics (1203) respectively; this card keeps the biological evolution, phylogenetics, and behavior of organisms (including the biological basis of human evolution).",community and population ecology; evolutionary biology and phylogenetics; animal behavior and ethology; taxonomy and systematics of any taxon; biodiversity and biogeography; speciation and adaptation; conservation biology (ecological aspects),"crop- and horticultural-plant-specific physiology, breeding, and agronomy -> Plant Science ; gene-level molecular mechanisms of heredity -> Genetics ; insect-specific applied pest control and economic entomology -> Insect Science ; ecosystem processes, ecosystem services, environmental drivers and stressors, water-body and catchment ecology, or landscape-scale environmental monitoring, where the environment rather than the organism is the object of study -> Ecology ; human cultural and social evolution, and the history of human societies' customs, institutions, and social organization, as opposed to the biological evolution of organisms -> Anthropology ; the evolution, structure, and diversity of human language as a communicative/cultural system, as opposed to the biological evolution of species -> Language and Linguistics",Ecology; Evolution; Journal of Animal Ecology; Systematic Biology,https://en.wikipedia.org/wiki/Ecology,high
1106,Food Science,Agricultural and Biological Sciences,"Study of the composition, processing, preservation, safety, quality, and sensory/nutritional properties of food, including food chemistry, food microbiology, food engineering/technology, and consumer/cultural food studies.",food processing and preservation technology; food safety and quality control; food chemistry and biochemistry; food microbiology; sensory science and consumer food studies; nutritional composition of food products; food packaging and storage,"crop and plant biology upstream of harvest -> Plant Science ; clinical human nutrition and dietetics -> Nutrition and Dietetics ; field-level agricultural production practices -> Agronomy and Crop Science ; food as a cultural, social or political object - food culture and identity, food-system governance, food security policy, globalisation of diets -> Geography, Planning and Development",Journal of Food Science; Food Chemistry; Food Research International; LWT - Food Science and Technology,https://en.wikipedia.org/wiki/Food_science,high
1107,Forestry,Agricultural and Biological Sciences,"Study of forest ecosystems and their management: silviculture, forest ecology and dynamics, forest products, agroforestry, and the sustainable management, conservation, and monitoring of woodlands and tree plantations.",silviculture and forest management; forest ecology and dynamics; agroforestry systems; timber and forest products science; forest conservation and restoration; tree physiology and growth; forest inventory and remote sensing of forests,"general plant physiology unrelated to trees or forest stands -> Plant Science ; broader ecosystem/community ecology not forest-specific -> Ecology, Evolution, Behavior and Systematics",Forest Ecology and Management; Forestry; Canadian Journal of Forest Research; Agroforestry Systems,https://en.wikipedia.org/wiki/Forestry,high
1108,Horticulture,Agricultural and Biological Sciences,"Study of the cultivation, physiology, breeding, and production of garden and orchard plants: fruits, vegetables, ornamentals, and nursery crops, including horticultural science, landscape horticulture, and postharvest management.",fruit and vegetable production science; ornamental plant cultivation; nursery and greenhouse production; postharvest physiology and handling; landscape and urban horticulture; horticultural breeding and propagation; viticulture and orchard management,"broad-acre field crop agronomy (grains, oilseeds) -> Agronomy and Crop Science ; general plant molecular/physiological biology not tied to cultivated horticultural crops -> Plant Science",Scientia Horticulturae; HortScience; Postharvest Biology and Technology,https://en.wikipedia.org/wiki/Horticulture,high
1109,Insect Science,Agricultural and Biological Sciences,"Study of insects and related arthropods: their biology, physiology, behavior, ecology, and taxonomy, together with their roles as pests, pollinators, or disease vectors, and applied entomology and pest control.",insect biology and physiology; faunistic and descriptive taxonomic revision of insect groups; insect-plant interactions; insect behavior and pheromone research; integrated pest management; insect pathology and biocontrol agents; pollinator biology,"broader vertebrate animal biology and zoology -> Animal Science and Zoology ; general community/population ecology and evolutionary biology not insect-specific -> Ecology, Evolution, Behavior and Systematics ; insect studies whose contribution is phylogenetic or evolutionary - molecular phylogenetics, DNA barcoding, cryptic-species delimitation, biodiversity inventory, biogeography - where the discipline is systematics and the taxon is incidental -> Ecology, Evolution, Behavior and Systematics",Journal of Insect Science; Insect Science; Annual Review of Entomology; Journal of Economic Entomology,https://en.wikipedia.org/wiki/Entomology,high
1110,Plant Science,Agricultural and Biological Sciences,"Study of plant biology, physiology, genetics, molecular biology, growth, development, stress responses, and interactions with pathogens and the environment, spanning basic and applied botanical research not specific to a named crop- or horticultural-production context. ARBITRATION: mechanism, physiology, molecular biology and stress responses stay here even when studied in a crop species; production framing (yield, management, breeding for performance) goes to Agronomy and Crop Science; anything after harvest goes to Food Science.",plant physiology and development; plant molecular biology and genomics; plant stress and pathogen responses; plant nutrient uptake and metabolism; photosynthesis and plant biochemistry; plant-microbe interactions; plant biotechnology,"herbal/traditional medicinal use of plants -> Complementary and alternative medicine ; post-harvest food processing and quality of plant-derived foods -> Food Science ; gene-level heredity and molecular genetics mechanisms not plant-specific -> Molecular Biology ; plant taxonomy, phylogenetics, and community/population ecology -> Ecology, Evolution, Behavior and Systematics",Plant Cell; Plant Physiology; New Phytologist; Journal of Experimental Botany,https://en.wikipedia.org/wiki/Botany,high
